,package,github repository,license
3364,trytond-account-invoice,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3365,pymbolic,Unavailable,['MIT License']
3366,plop,bdarnell/plop,['Unavailable']
3367,aliyun-python-sdk-cms,Unavailable,['Apache Software License']
3368,django-mptt-admin,mbraak/django-mptt-admin,['Apache Software License']
3369,flask-qrcode,marcoagner/Flask-QRcode,['GNU General Public License v3 (GPLv3)']
3370,tinyprog,tinyfpga/TinyFPGA-Bootloader,['GNU General Public License v2 (GPLv2)']
3371,legacy,Unavailable,['Apache Software License']
3372,django-simple-mail,charlesthk/django-simple-mail,['MIT License']
3373,box2d-py,openai/box2d-py,['zlib/libpng License']
3374,transcriptic,transcriptic/transcriptic,['Unavailable']
3375,softlayer,Unavailable,['MIT License']
3376,pypiserver,pypiserver/pypiserver,"['BSD License', 'zlib/libpng License']"
3377,smooch,Unavailable,['Unavailable']
3378,blackboxauditing,algofairness/BlackBoxAuditing,['Apache Software License']
3379,apt-mirror-updater,Unavailable,['MIT License']
3380,elephas,Unavailable,['MIT License']
3381,mando,Unavailable,['MIT License']
3382,iotile-build,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3383,products-atcontenttypes,Unavailable,['GNU General Public License (GPL)']
3384,autolens,Jammy2211/PyAutoLens,['MIT License']
3385,autosub,agermanidis/autosub,['Unavailable']
3386,dockermake,avirshup/dockermake,['Unavailable']
3387,sensu-plugin,sensu-plugins/sensu-plugin-python,['MIT License']
3388,click-datetime,Unavailable,['Unavailable']
3389,humanhash3,blag/humanhash,['Public Domain']
3390,time-uuid,Unavailable,['BSD License']
3391,efesto,strangemachines/efesto,['GNU General Public License v3 (GPLv3)']
3392,molo-commenting,Unavailable,['Unavailable']
3393,paralleldots,ParallelDots/ParallelDots-Python-API.git,['MIT License']
3394,mbed-cloud-sdk,ARMmbed/mbed-cloud-sdk-python,['Apache Software License']
3395,plone-outputfilters,Unavailable,['GNU General Public License (GPL)']
3396,choicesenum,loggi/python-choicesenum,['BSD License']
3397,asn1ate,Unavailable,['BSD License']
3398,transifex-client,Unavailable,['Unavailable']
3399,mkdocs-material,Unavailable,['MIT License']
3400,sloth-ci,sloth-ci/sloth-ci,['MIT License']
3401,prance,RonnyPfannschmidt/prance,['MIT License']
3402,easyimap,keitaoouchi/easyimap,['BSD License']
3403,sphinx-me,Unavailable,['BSD License']
3404,jam-py,Unavailable,['BSD License']
3405,insta-browser,kricha/insta_browser,['MIT License']
3406,pyobjc-framework-latentsemanticmapping,ronaldoussoren/pyobjc,['MIT License']
3407,georaptor,ashwin711/georaptor,['Apache Software License']
3408,crc8,niccokunzmann/crc8,['MIT License']
3409,sniffio,python-trio/sniffio,"['Apache Software License', 'MIT License']"
3410,mezzanine,Unavailable,['BSD License']
3411,restclient,Unavailable,['Unavailable']
3412,trytond-sale-invoice-grouping,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3413,martor,agusmakmun/django-markdown-editor,['GNU General Public License v3 (GPLv3)']
3414,undecorated,mapleoin/undecorated,['Apache Software License']
3415,chardet,chardet/chardet,['GNU Lesser General Public License v2 or later (LGPLv2+)']
3416,django-debug-toolbar-template-timings,orf/django-debug-toolbar-template-timings,['Unavailable']
3417,msgpack-pure,Unavailable,['Apache Software License']
3418,django-timedeltafield,Unavailable,['BSD License']
3419,gems,bprinty/gems,['Apple Public Source License']
3420,grpc-google-logging-v2,googleapis/googleapis,['Apache Software License']
3421,plantweb,Unavailable,['Apache Software License']
3422,python-jsonrpc-server,palantir/python-jsonrpc-server,['Unavailable']
3423,google-auth-httplib2,GoogleCloudPlatform/google-auth-library-python-httplib2,['Apache Software License']
3424,django-macros,nalourie/django-macros,['MIT License']
3425,hdx-python-utilities,OCHA-DAP/hdx-python-utilities,['MIT License']
3426,deap,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3427,socialcrawler,Unavailable,['GNU General Public License (GPL)']
3428,community,ewdurbin/community,['Unavailable']
3429,pygsp,epfl-lts2/pygsp,['BSD License']
3430,gevent,gevent/gevent,['MIT License']
3431,edc-appointment,clinicedc/edc-appointment,['GNU General Public License v3 (GPLv3)']
3432,pytumblr,tumblr/pytumblr,['Unavailable']
3433,plone-protect,plone/plone.protect,['BSD License']
3434,djangocms-blog,nephila/djangocms-blog,['BSD License']
3435,onnx-coreml,onnx/onnx-coreml,['MIT License']
3436,gtfparse,openvax/gtfparse,['Apache Software License']
3437,pysocks,Anorov/PySocks,['Unavailable']
3438,pytest-docker,avast/pytest-docker,['MIT License']
3439,fmriprep-docker,nipreps/fmriprep,"['Apache Software License', 'BSD License']"
3440,certbot-dns-cloudxns,certbot/certbot,['Apache Software License']
3441,djangorestframework-queryfields,wimglenn/djangorestframework-queryfields,['Unavailable']
3442,globre,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3443,sh,amoffat/sh,['MIT License']
3444,wpiformat,wpilibsuite/styleguide,['BSD License']
3445,infinity,kvesteri/infinity,['BSD License']
3446,bayespy,Unavailable,['MIT License']
3447,python-rapidjson,python-rapidjson/python-rapidjson,['MIT License']
3448,better-exceptions,qix-/better-exceptions,['Unavailable']
3449,temp,andrewp-as-is/temp.py,['Public Domain']
3450,fortiosapi,fortinet-solutions-cse/fortiosapi,['Apache Software License']
3451,hjson,Unavailable,"['Academic Free License (AFL)', 'MIT License']"
3452,django-cabinet,Unavailable,['BSD License']
3453,absl-py,abseil/abseil-py,['Apache Software License']
3454,drfdocs,Unavailable,['BSD License']
3455,drf-renderer-xlsx,wharton/drf-excel,['Unavailable']
3456,tempest,Unavailable,['Apache Software License']
3457,betamax,sigmavirus24/betamax,['Apache Software License']
3458,django-tables2-column-shifter,djk2/django-tables2-column-shifter,['BSD License']
3459,mockredispy,Unavailable,['Unavailable']
3460,heroku,heroku/heroku.py,['MIT License']
3461,rhdndat,Unavailable,['Other/Proprietary License']
3462,maya,kennethreitz/maya,['MIT License']
3463,goatools,Unavailable,['BSD License']
3464,betty-cropper,theonion/betty-cropper,['Unavailable']
3465,pyspf,sdgathman/pyspf,['Python Software Foundation License']
3466,pattern,Unavailable,['BSD License']
3467,navmazing,RedhatQE/navmazing,['Unavailable']
3468,esptool,espressif/esptool,['GNU General Public License v2 or later (GPLv2+)']
3469,eve-sqlalchemy,pyeve/eve-sqlalchemy,['BSD License']
3470,configupdater,pyscaffold/configupdater,['MIT License']
3471,pvlib,pvlib/pvlib-python,['BSD License']
3472,pyobjc-framework-storekit,ronaldoussoren/pyobjc,['MIT License']
3473,pyobjc-framework-applescriptkit,ronaldoussoren/pyobjc,['MIT License']
3474,cortex-client,Unavailable,['Unavailable']
3475,learnosity-sdk,Learnosity/learnosity-sdk-python,['Unavailable']
3476,youtube-dl,ytdl-org/youtube-dl,['Public Domain']
3477,pretty-bad-protocol,isislovecruft/python-gnupg,['GNU General Public License v3 or later (GPLv3+)']
3478,google-search-api,abenassi/Google-Search-API,['Unavailable']
3479,qnapstats,colinodell/python-qnapstats,['MIT License']
3480,jupyter-http-over-ws,googlecolab/jupyter_http_over_ws,['Apache Software License']
3481,scripttest,Unavailable,['MIT License']
3482,dynaconf,dynaconf/dynaconf,['MIT License']
3483,traittypes,Unavailable,['BSD License']
3484,icdiff,jeffkaufman/icdiff,['Python Software Foundation License']
3485,lunr,yeraydiazdiaz/lunr.py,['MIT License']
3486,cltk,cltk/cltk,['MIT License']
3487,pkutils,reubano/pkutils,['MIT License']
3488,bpmappers,Unavailable,['MIT License']
3489,nnmnkwii,r9y9/nnmnkwii,['MIT License']
3490,mandrill,Unavailable,['Apache Software License']
3491,watson-machine-learning-client,Unavailable,['BSD License']
3492,pyliblzma,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3493,pytest-mccabe,The-Compiler/pytest-mccabe,['MIT License']
3494,arangodjango,saeschdivara/ArangoDjango,['Unavailable']
3495,uqbar,josiah-wolf-oberholtzer/uqbar,['MIT License']
3496,peek-worker,Synerty/peek-worker,['Unavailable']
3497,wrapanapi,RedHatQE/wrapanapi,['Unavailable']
3498,sops,mozilla/sops,['Mozilla Public License 2.0 (MPL 2.0)']
3499,raygun4py,Unavailable,['MIT License']
3500,pylzma,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3501,azure-cli-eventhubs,Azure/azure-cli,['MIT License']
3502,anyblok-pyramid,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
3503,bytecode,MatthieuDartiailh/bytecode,['MIT License']
3504,unicon,Unavailable,['Apache Software License']
3505,cfn-resource-provider,binxio/cfn-resource-provider,['Unavailable']
3506,simple-rest-client,allisson/python-simple-rest-client,['Unavailable']
3507,django-robots,jazzband/django-robots,['BSD License']
3508,django-heroku-connect,thermondo/django-heroku-connect,['Apache Software License']
3509,muffin-peewee,klen/muffin-peewee,['MIT License']
3510,django-file-form,mbraak/django-file-form,['Apache Software License']
3511,openpiv,Unavailable,"['GNU General Public License v3 (GPLv3)', 'Other/Proprietary License']"
3512,pyftpsync,mar10/pyftpsync,['MIT License']
3513,pyttsx3,nateshmbhat/pyttsx3,['Mozilla Public License 2.0 (MPL 2.0)']
3514,xstatic-jquery-tablesorter,Mottie/tablesorter,['Unavailable']
3515,aiorpcx,kyuupichan/aiorpcX,['MIT License']
3516,premailer,Unavailable,['Python Software Foundation License']
3517,django-timeline-logger,maykinmedia/django-timeline-logger,['Unavailable']
3518,mulpyplexer,Unavailable,['Unavailable']
3519,parsley,Unavailable,['Unavailable']
3520,hirefire,Unavailable,['BSD License']
3521,microcosm-postgres,globality-corp/microcosm-postgres,['Unavailable']
3522,jaraco-classes,jaraco/jaraco.classes,['MIT License']
3523,pytorch,Unavailable,['Unavailable']
3524,soaplib,Unavailable,['Unavailable']
3525,pydlm,wwrechard/pydlm,['BSD License']
3526,mixpanel-query-py,Unavailable,['MIT License']
3527,elasticsearch-dsl,elasticsearch/elasticsearch-dsl-py,['Apache Software License']
3528,jaraco-itertools,jaraco/jaraco.itertools,['MIT License']
3529,lazr-uri,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3530,dash-bootstrap-components,facultyai/dash-bootstrap-components,['Apache Software License']
3531,ruamel-base,Unavailable,['MIT License']
3532,taxjar,taxjar/taxjar-python,['MIT License']
3533,aikif,acutesoftware/AIKIF,['Unavailable']
3534,pyqpanda,Unavailable,['Unavailable']
3535,google-cloud-container,googleapis/google-cloud-python,['Apache Software License']
3536,tox-travis,tox-dev/tox-travis,['MIT License']
3537,django-graphiql,Unavailable,['Unavailable']
3538,pyactiveresource,Shopify/pyactiveresource,['MIT License']
3539,orange-spectroscopy,Quasars/orange-spectroscopy,['Unavailable']
3540,geog,jwass/geog,['Unavailable']
3541,durable-rules,jruizgit/rules,['MIT License']
3542,blowdrycss,nueverest/blowdrycss,['MIT License']
3543,azure-mgmt-maps,Azure/azure-sdk-for-python,['MIT License']
3544,python-string-utils,daveoncode/python-string-utils,['MIT License']
3545,arpreq,sebschrader/python-arpreq,['MIT License']
3546,genshi,edgewall/genshi,['BSD License']
3547,argon2-cffi,Unavailable,['MIT License']
3548,pylsl,labstreaminglayer/liblsl-Python,['MIT License']
3549,pybutton,Unavailable,['MIT License']
3550,untangle,Unavailable,['MIT License']
3551,docker-compose,docker/compose,['Apache Software License']
3552,cubicweb,Unavailable,['Unavailable']
3553,superset,Unavailable,['Unavailable']
3554,asgiref,django/asgiref,['BSD License']
3555,adb,google/python-adb,['Apache Software License']
3556,pefile,erocarrera/pefile,['Unavailable']
3557,tri-declarative,TriOptima/tri.declarative,['BSD License']
3558,graphyte,benhoyt/graphyte,['MIT License']
3559,aodh,Unavailable,['Apache Software License']
3560,invenio-rest,inveniosoftware/invenio-rest,['Unavailable']
3561,nexusformat,nexpy/nexusformat,['BSD License']
3562,django-password-reset,brutasse/django-password-reset,['BSD License']
3563,pynetio,eagleamon/pynetio,['MIT License']
3564,oslo-concurrency,Unavailable,['Apache Software License']
3565,flask-graphql,graphql-python/flask-graphql,['MIT License']
3566,pyexcel-text,pyexcel/pyexcel-text,['BSD License']
3567,bayesian-optimization,fmfn/BayesianOptimization,['MIT License']
3568,setuptools-odoo,Unavailable,['GNU Lesser General Public License v3 (LGPLv3)']
3569,pyone,Unavailable,['Apache Software License']
3570,supervisor-stdout,coderanger/supervisor-stdout,['BSD License']
3571,uwgeodynamics,rbeucher/UWGeodynamics.git,['GNU General Public License v3 or later (GPLv3+)']
3572,cppcheck-junit,johnthagen/cppcheck-junit,['MIT License']
3573,flask-sse,singingwolfboy/flask-sse,['MIT License']
3574,omdb,dgilland/omdb.py,['MIT License']
3575,petact,matthewscholefield/petact,['MIT License']
3576,cppheaderparser,Unavailable,['BSD License']
3577,filebrowser-safe,Unavailable,['Unavailable']
3578,pyfarmhash,veelion/python-farmhash,['MIT License']
3579,cm-api,Unavailable,['Unavailable']
3580,trytond-analytic-account,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3581,scrapy-fake-useragent,alecxe/scrapy-fake-useragent,['MIT License']
3582,chatterbot,gunthercox/ChatterBot,['BSD License']
3583,agora-fountain,smartdeveloperhub/agora-fountain,['Unavailable']
3584,python-wordpress-xmlrpc,maxcutler/python-wordpress-xmlrpc,['BSD License']
3585,bootstrap-admin,douglasmiranda/django-admin-bootstrap,['MIT License']
3586,spectral-cube,Unavailable,['Unavailable']
3587,protect,Unavailable,['Unavailable']
3588,gxformat2,galaxyproject/gxformat2,['MIT License']
3589,python-pdf,tutorcruncher/pydf,['MIT License']
3590,invenio-query-parser,inveniosoftware/invenio-query-parser,['GNU General Public License v2 or later (GPLv2+)']
3591,edx-drf-extensions,openedx/edx-drf-extensions,['Apache Software License']
3592,dialogflow,googleapis/dialogflow-python-client-v2,['Apache Software License']
3593,async-timeout,aio-libs/async-timeout,['Apache Software License']
3594,pyusps,thelinuxkid/pyusps,['MIT License']
3595,4scanner,Lacsap-/4scanner,['MIT License']
3596,simple-crypt,andrewcooke/simple-crypt,['Public Domain']
3597,nemo,usnistgov/NEMO,['Public Domain']
3598,dcicutils,4dn-dcic/utils,['MIT License']
3599,transmissionrpc,Unavailable,['MIT License']
3600,cortexutils,TheHive-Project/Cortex-Analyzers,['GNU Affero General Public License v3 or later (AGPLv3+)']
3601,neobase,alexprengere/neobase,['Unavailable']
3602,django-hijack-admin,Unavailable,['Unavailable']
3603,pipdeptree,tox-dev/pipdeptree,['MIT License']
3604,django-geoexplorer,GeoNode/django-geoexplorer,['Unavailable']
3605,ganglia,Unavailable,['MIT License']
3606,flask-wtf,wtforms/flask-wtf,['BSD License']
3607,hammertime-http,delvelabs/hammertime,['Unavailable']
3608,sqlalchemy-aio,RazerM/sqlalchemy_aio,['MIT License']
3609,fluffy-server,Unavailable,['Apache Software License']
3610,allure-python-commons,allure-framework/allure-python,['Apache Software License']
3611,proto-google-cloud-logging-v2,googleapis/googleapis,['Apache Software License']
3612,azure-cli-vm,Azure/azure-cli,['MIT License']
3613,js2py,PiotrDabkowski/Js2Py,['Unavailable']
3614,emtwo-extensions,mozilla/redash-stmo,['Mozilla Public License 2.0 (MPL 2.0)']
3615,sos-notebook,vatlab/SOS,['BSD License']
3616,kervi,Unavailable,['MIT License']
3617,backports-ssl-match-hostname,Unavailable,['Python Software Foundation License']
3618,wsrpc-aiohttp,wsrpc/wsrpc-aiohttp,['Apache Software License']
3619,aiomisc,aiokitchen/aiomisc,['MIT License']
3620,pygobject,Unavailable,['GNU Lesser General Public License v2 or later (LGPLv2+)']
3621,ajenti-dev-multitool,Unavailable,['Unavailable']
3622,watchtower,kislyuk/watchtower,['Apache Software License']
3623,pyflux,rjt1990/pyflux,['Unavailable']
3624,whisper,Unavailable,['Unavailable']
3625,flask-uploads,maxcountryman/flask-uploads,['MIT License']
3626,pyocclient,owncloud/pyocclient,['MIT License']
3627,pyexcel,pyexcel/pyexcel,['Unavailable']
3628,django-boto,qnub/django-boto,['MIT License']
3629,misaka,FSX/misaka,['MIT License']
3630,xstatic-bootstrap-scss,twbs/bootstrap-sass,['Unavailable']
3631,django-chartit,chartit/django-chartit,['BSD License']
3632,azure-cli-interactive,Azure/azure-cli,['Unavailable']
3633,django-councilmatic,Unavailable,['BSD License']
3634,cron-descriptor,Salamek/cron-descriptor,['MIT License']
3635,edit-distance,belambert/editdistance,['Apache Software License']
3636,python-snap7,gijzelaerr/python-snap7,['MIT License']
3637,fredapi,mortada/fredapi,['Unavailable']
3638,flask-bcrypt,maxcountryman/flask-bcrypt,['BSD License']
3639,siphashc,WeblateOrg/siphashc,['ISC License (ISCL)']
3640,plone-z3cform,plone/plone.z3cform,['GNU General Public License v2 (GPLv2)']
3641,bloom-filter,hiway/python-bloom-filter,['Unavailable']
3642,grpc-google-cloud-logging-v2,googleapis/googleapis,['Apache Software License']
3643,junitparser,weiwei/junitparser,['Apache Software License']
3644,authedwig,cloudchacho/hedwig-python,['Apache Software License']
3645,pandas-market-calendars,rsheftel/pandas_market_calendars,['MIT License']
3646,inflection,jpvanhal/inflection,['MIT License']
3647,pantsbuild-pants-contrib-jax-ws,pantsbuild/pants,['Apache Software License']
3648,geolinks,geopython/geolinks,['MIT License']
3649,linchpin,Unavailable,['Unavailable']
3650,django-elasticsearch-debug-toolbar,Unavailable,['MIT License']
3651,infoblox-client,infobloxopen/infoblox-client,['Apache Software License']
